State,state_name,status_2026,counts,population_2026
1,J&K and Ladakh,CT_2011,36,308104
1,J&K and Ladakh,CT_2026,126,989605
1,J&K and Ladakh,ST_2011,86,3578326
1,J&K and Ladakh,Village,6427,9320719
2,Himachal Pradesh,CT_2026,1,5061
2,Himachal Pradesh,ST_2011,56,740224
2,Himachal Pradesh,ST_2026,4,25189
2,Himachal Pradesh,Village,20688,6808047
3,Punjab,CT_2011,62,655143
3,Punjab,CT_2026,77,591057
3,Punjab,ST_2011,143,10965269
3,Punjab,ST_2026,23,203039
3,Punjab,Village,12493,18907720
4,Chandigarh,CT_2011,5,67084
4,Chandigarh,CT_2026,4,30653
4,Chandigarh,ST_2011,1,1165693
4,Chandigarh,Village,1,4165
5,Uttarakhand,CT_2011,23,250622
5,Uttarakhand,CT_2026,49,384404
5,Uttarakhand,ST_2011,74,3044320
5,Uttarakhand,ST_2026,42,737719
5,Uttarakhand,Village,16720,7575536
6,Haryana,CT_2011,71,1052875
6,Haryana,CT_2026,194,1582004
6,Haryana,ST_2011,80,9791426
6,Haryana,ST_2026,7,126537
6,Haryana,Village,6643,18756214
7,NCT of Delhi,CT_2011,109,6649233
7,NCT of Delhi,CT_2026,30,344394
7,NCT of Delhi,ST_2011,3,15313838
7,NCT of Delhi,ST_2026,1,20360
7,NCT of Delhi,Village,82,218380
8,Rajasthan,CT_2011,61,631193
8,Rajasthan,CT_2026,154,1254705
8,Rajasthan,ST_2011,185,19285473
8,Rajasthan,ST_2026,121,1703750
8,Rajasthan,Village,44448,60753972
9,Uttar Pradesh,CT_2011,212,2333536
9,Uttar Pradesh,CT_2026,512,4011973
9,Uttar Pradesh,ST_2011,648,49739716
9,Uttar Pradesh,ST_2026,135,2878687
9,Uttar Pradesh,Village,106182,183808082
10,Bihar,CT_2011,50,499007
10,Bihar,CT_2026,727,6514214
10,Bihar,ST_2011,139,14320287
10,Bihar,ST_2026,131,1742896
10,Bihar,Village,44026,109233999
11,Sikkim,CT_2011,1,6818
11,Sikkim,CT_2026,5,35686
11,Sikkim,ST_2011,8,171179
11,Sikkim,Village,446,493976
12,Arunachal Pradesh,ST_2011,26,363413
12,Arunachal Pradesh,ST_2026,9,37669
12,Arunachal Pradesh,Village,5581,1202658
13,Nagaland,CT_2011,5,58316
13,Nagaland,ST_2011,19,585805
13,Nagaland,ST_2026,20,108646
13,Nagaland,Village,1410,1540317
14,Manipur,CT_2011,23,212603
14,Manipur,CT_2026,15,104516
14,Manipur,ST_2011,28,754181
14,Manipur,Village,2567,2238564
15,Mizoram,ST_2011,23,663254
15,Mizoram,Village,830,609505
16,Tripura,CT_2011,21,272322
16,Tripura,CT_2026,35,319048
16,Tripura,ST_2011,16,777575
16,Tripura,ST_2026,11,129379
16,Tripura,Village,834,2759745
17,Meghalaya,CT_2011,11,222877
17,Meghalaya,ST_2011,10,435703
17,Meghalaya,ST_2026,1,31547
17,Meghalaya,Village,6839,2748498
18,Assam,CT_2011,115,1009215
18,Assam,CT_2026,245,1659071
18,Assam,ST_2011,88,4035968
18,Assam,ST_2026,28,247866
18,Assam,Village,26133,29776843
19,West Bengal,CT_2011,781,8749313
19,West Bengal,CT_2026,639,5410733
19,West Bengal,ST_2011,129,23284674
19,West Bengal,Village,39563,63050282
20,Jharkhand,CT_2011,181,2609136
20,Jharkhand,CT_2026,197,1471813
20,Jharkhand,ST_2011,40,6646370
20,Jharkhand,ST_2026,10,617571
20,Jharkhand,Village,32194,29626371
21,Odisha,CT_2011,111,823972
21,Odisha,CT_2026,100,668358
21,Odisha,ST_2011,107,6571414
21,Odisha,ST_2026,8,72416
21,Odisha,Village,51208,36524408
22,Chhattisgarh,CT_2011,8,91325
22,Chhattisgarh,CT_2026,53,338093
22,Chhattisgarh,ST_2011,168,7087654
22,Chhattisgarh,ST_2026,23,205400
22,Chhattisgarh,Village,20056,23491484
23,Madhya Pradesh,CT_2011,79,790097
23,Madhya Pradesh,CT_2026,80,616001
23,Madhya Pradesh,ST_2011,364,23420383
23,Madhya Pradesh,ST_2026,53,775590
23,Madhya Pradesh,Village,54803,64092038
24,Gujarat,CT_2011,153,2166047
24,Gujarat,CT_2026,172,1744258
24,Gujarat,ST_2011,195,29287330
24,Gujarat,Village,18053,40791332
25,Daman & Diu,CT_2011,6,332391
25,Daman & Diu,CT_2026,10,152421
25,Daman & Diu,ST_2011,2,198060
25,Daman & Diu,Village,9,22787
26,Dadra & Nagar Haveli,CT_2011,5,151462
26,Dadra & Nagar Haveli,CT_2026,13,180253
26,Dadra & Nagar Haveli,ST_2011,1,238784
26,Dadra & Nagar Haveli,Village,52,264714
27,Maharashtra,CT_2011,185,2187343
27,Maharashtra,CT_2026,179,1720203
27,Maharashtra,ST_2011,256,53861838
27,Maharashtra,ST_2026,153,3487429
27,Maharashtra,Village,43426,68086045
28,Andhra Pradesh,CT_2011,89,1638499
28,Andhra Pradesh,CT_2026,115,1425354
28,Andhra Pradesh,ST_2011,83,13525849
28,Andhra Pradesh,ST_2026,41,917770
28,Andhra Pradesh,Village,17539,35860521
29,Karnataka,CT_2011,87,838068
29,Karnataka,CT_2026,170,1397135
29,Karnataka,ST_2011,220,25288487
29,Karnataka,ST_2026,97,1178712
29,Karnataka,Village,29113,40274188
30,Goa,CT_2011,56,519406
30,Goa,CT_2026,7,56754
30,Goa,ST_2011,14,474462
30,Goa,Village,327,547943
31,Lakshadweep,CT_2011,6,55063
31,Lakshadweep,CT_2026,1,8228
31,Lakshadweep,Village,20,7242
32,Kerala,CT_2011,446,10628428
32,Kerala,CT_2026,662,13768499
32,Kerala,ST_2011,59,6079153
32,Kerala,ST_2026,34,999874
32,Kerala,Village,337,4702062
33,Tamil Nadu,CT_2011,376,5374258
33,Tamil Nadu,CT_2026,583,4961416
33,Tamil Nadu,ST_2011,721,32161990
33,Tamil Nadu,Village,15396,35060393
34,Puducherry,CT_2011,4,128298
34,Puducherry,CT_2026,25,238476
34,Puducherry,ST_2011,6,1072378
34,Puducherry,Village,65,317966
35,Andaman & Nicobar Islands,CT_2011,4,37768
35,Andaman & Nicobar Islands,CT_2026,2,13657
35,Andaman & Nicobar Islands,ST_2011,1,115190
35,Andaman & Nicobar Islands,Village,553,239085
36,Telangana,CT_2011,43,440922
36,Telangana,CT_2026,49,472020
36,Telangana,ST_2011,42,12700275
36,Telangana,ST_2026,113,2491076
36,Telangana,Village,10039,22749860
